group	x	y	showSelected1
1	2480	24	12
1	2480	24	67
1	2480	24	99
1	2480	24	123
1	2480	24	203
1	2480	24	150
1	2480	24	146
1	2480	24	63
1	2480	24	18
1	2480	24	71
1	2480	24	140
1	2480	24	19
1	2480	24	48
1	2480	24	36
1	2480	24	92
1	2480	24	109
2	2530	24	150
2	2530	24	18
2	2530	24	35
2	2530	24	115
2	2530	24	63
2	2530	24	231
2	2530	24	36
2	2530	24	144
2	2530	24	95
2	2530	24	134
2	2530	24	131
2	2530	24	201
2	2530	24	140
2	2530	24	114
2	2530	24	48
2	2530	24	153
2	2530	24	109
2	2530	24	92
2	2530	24	138
2	2530	24	166
2	2530	24	74
2	2530	24	224
2	2530	24	195
2	2530	24	37
2	2530	24	189
2	2530	24	108
2	2530	24	136
2	2530	24	79
2	2530	24	164
2	2530	24	43
3	2530	74	35
3	2530	74	115
3	2530	74	14
3	2530	74	52
3	2530	74	234
3	2530	74	158
3	2530	74	69
3	2530	74	159
3	2530	74	31
3	2530	74	128
3	2530	74	134
3	2530	74	78
3	2530	74	63
3	2530	74	231
3	2530	74	95
3	2530	74	55
3	2530	74	152
3	2530	74	201
3	2530	74	47
3	2530	74	153
6	2580	74	128
6	2580	74	217
6	2580	74	31
6	2580	74	160
6	2580	74	6
6	2580	74	78
6	2580	74	34
6	2580	74	159
6	2580	74	54
6	2580	74	152
6	2580	74	55
6	2580	74	47
6	2580	74	95
6	2580	74	57
6	2580	74	153
6	2580	74	70
6	2580	74	45
5	2580	124	160
5	2580	124	6
5	2580	124	27
5	2580	124	135
5	2580	124	82
5	2580	124	57
5	2580	124	110
5	2580	124	175
5	2580	124	217
5	2580	124	226
8	2630	124	175
8	2630	124	110
8	2630	124	42
8	2630	124	68
8	2630	124	17
8	2630	124	57
8	2630	124	221
8	2630	124	173
8	2630	124	226
8	2630	124	2
8	2630	124	46
8	2630	124	80
8	2630	124	233
8	2630	124	6
8	2630	124	38
8	2630	124	162
8	2630	124	7
8	2630	124	44
8	2630	124	199
8	2630	124	26
9	2630	174	17
9	2630	174	174
9	2630	174	173
9	2630	174	233
4	2580	24	153
4	2580	24	95
4	2580	24	47
4	2580	24	9
4	2580	24	202
4	2580	24	74
4	2580	24	159
4	2580	24	152
4	2580	24	134
4	2580	24	166
4	2580	24	34
4	2580	24	114
4	2580	24	84
4	2580	24	53
4	2580	24	108
4	2580	24	155
4	2580	24	70
4	2580	24	25
4	2580	24	147
4	2580	24	130
4	2580	24	79
4	2580	24	148
4	2580	24	43
4	2580	24	164
4	2580	24	149
4	2580	24	168
4	2580	24	33
4	2580	24	124
4	2580	24	232
4	2580	24	10
4	2580	24	5
4	2580	24	190
4	2580	24	129
4	2580	24	117
4	2580	24	180
4	2580	24	13
4	2580	24	145
4	2580	24	223
4	2580	24	30
4	2580	24	90
4	2580	24	76
4	2580	24	157
4	2580	24	181
4	2580	24	209
4	2580	24	121
4	2580	24	20
4	2580	24	176
10	2630	74	57
10	2630	74	6
10	2630	74	44
10	2630	74	162
10	2630	74	188
10	2630	74	45
10	2630	74	7
10	2630	74	70
10	2630	74	132
10	2630	74	88
10	2630	74	207
10	2630	74	208
10	2630	74	15
10	2630	74	191
10	2630	74	94
10	2630	74	218
10	2630	74	178
10	2630	74	8
10	2630	74	39
10	2630	74	118
10	2630	74	235
10	2630	74	145
10	2630	74	62
10	2630	74	64
10	2630	74	113
12	2680	124	233
12	2680	124	38
12	2680	124	199
12	2680	124	26
12	2680	124	46
12	2680	124	7
12	2680	124	61
12	2680	124	93
12	2680	124	120
12	2680	124	96
12	2680	124	145
7	2630	24	70
7	2630	24	7
7	2630	24	33
7	2630	24	15
7	2630	24	94
7	2630	24	39
7	2630	24	178
7	2630	24	30
7	2630	24	145
7	2630	24	13
7	2630	24	156
7	2630	24	118
7	2630	24	230
7	2630	24	77
7	2630	24	225
7	2630	24	64
7	2630	24	180
7	2630	24	113
7	2630	24	121
7	2630	24	227
7	2630	24	85
7	2630	24	32
7	2630	24	20
7	2630	24	105
7	2630	24	171
7	2630	24	112
7	2630	24	220
7	2630	24	176
7	2630	24	62
7	2630	24	3
7	2630	24	210
7	2630	24	127
7	2630	24	222
7	2630	24	65
7	2630	24	60
7	2630	24	73
7	2630	24	165
7	2630	24	194
7	2630	24	58
7	2630	24	97
7	2630	24	1
7	2630	24	22
7	2630	24	50
7	2630	24	104
7	2630	24	24
7	2630	24	154
7	2630	24	204
13	2680	74	7
13	2680	74	46
13	2680	74	132
13	2680	74	26
13	2680	74	151
13	2680	74	93
13	2680	74	120
13	2680	74	8
13	2680	74	229
13	2680	74	145
13	2680	74	186
13	2680	74	96
13	2680	74	118
13	2680	74	107
13	2680	74	192
13	2680	74	62
13	2680	74	238
13	2680	74	28
13	2680	74	64
