group	fill	clickSelects
1	#FFFFFF	95
2	#FFFFFF	95
3	#FFFFFF	95
4	#FFFFFF	95
5	#FFFFFF	158
6	#FFFFFF	158
7	#FFFFFF	95
8	#FFFFFF	55
9	#FFFFFF	158
10	#FFFFFF	158
11	#FFFFFF	69
12	#FFFFFF	69
13	#FFFFFF	159
14	#FFFFFF	95
15	#FFFFFF	159
16	#FFFFFF	31
17	#FFFFFF	159
18	#FFFFFF	31
19	#FFFFFF	31
20	#FFFFFF	31
21	#FFFFFF	128
22	#FFFFFF	128
23	#FFFFFF	128
24	#FFFFFF	128
25	#FFFFFF	95
26	#FFFFFF	128
27	#FFFFFF	128
36	#FFFFFF	95
46	#FFFFFF	95
47	#FFFFFF	95
48	#FFFFFF	95
49	#FFFFFF	95
50	#FFFFFF	95
52	#FFFFFF	95
53	#FFFFFF	95
54	#FFFFFF	95
55	#FFFFFF	158
56	#FFFFFF	158
57	#FFFFFF	158
58	#FFFFFF	95
59	#FFFFFF	158
60	#FFFFFF	158
61	#FFFFFF	158
62	#FFFFFF	69
63	#FFFFFF	69
64	#FFFFFF	95
65	#FFFFFF	159
66	#FFFFFF	159
67	#FFFFFF	31
68	#FFFFFF	31
69	#FFFFFF	31
70	#FFFFFF	31
71	#FFFFFF	128
72	#FFFFFF	128
73	#FFFFFF	128
74	#FFFFFF	128
75	#FFFFFF	95
76	#FFFFFF	128
77	#FFFFFF	128
86	#FFFFFF	95
97	#FFFFFF	95
98	#FFFFFF	95
99	#FFFFFF	95
100	#FFFFFF	95
101	#FFFFFF	95
102	#FFFFFF	95
103	#FFFFFF	95
104	#FFFFFF	95
105	#FFFFFF	95
106	#FFFFFF	158
107	#FFFFFF	158
108	#FFFFFF	158
109	#FFFFFF	158
110	#FFFFFF	158
111	#FFFFFF	158
112	#FFFFFF	158
113	#FFFFFF	158
114	#FFFFFF	69
115	#FFFFFF	95
116	#FFFFFF	159
117	#FFFFFF	159
118	#FFFFFF	31
119	#FFFFFF	31
120	#FFFFFF	31
121	#FFFFFF	128
122	#FFFFFF	128
123	#FFFFFF	128
124	#FFFFFF	128
125	#FFFFFF	128
126	#FFFFFF	95
127	#FFFFFF	128
137	#FFFFFF	95
147	#FFFFFF	95
148	#FFFFFF	95
149	#FFFFFF	95
150	#FFFFFF	95
151	#FFFFFF	95
153	#FFFFFF	201
154	#FFFFFF	95
155	#FFFFFF	158
156	#FFFFFF	158
157	#FFFFFF	52
158	#FFFFFF	52
159	#FFFFFF	52
160	#FFFFFF	52
161	#FFFFFF	52
162	#FFFFFF	52
163	#FFFFFF	52
164	#FFFFFF	52
165	#FFFFFF	158
166	#FFFFFF	234
167	#FFFFFF	234
168	#FFFFFF	234
176	#FFFFFF	158
187	#FFFFFF	158
198	#FFFFFF	158
199	#FFFFFF	158
200	#FFFFFF	158
201	#FFFFFF	158
202	#FFFFFF	158
203	#FFFFFF	201
204	#FFFFFF	95
205	#FFFFFF	95
206	#FFFFFF	158
207	#FFFFFF	158
208	#FFFFFF	52
209	#FFFFFF	52
210	#FFFFFF	52
211	#FFFFFF	52
212	#FFFFFF	52
213	#FFFFFF	52
214	#FFFFFF	52
215	#FFFFFF	234
216	#FFFFFF	158
217	#FFFFFF	234
218	#FFFFFF	234
227	#FFFFFF	158
238	#FFFFFF	158
248	#FFFFFF	158
