group	fill	colour	clickSelects
2	#FFFFFF	#D3D3D3	92
3	#FFFFFF	#D3D3D3	109
4	#FFFFFF	#D3D3D3	48
5	#FFFFFF	#D3D3D3	140
6	#FFFFFF	#D3D3D3	140
7	#FFFFFF	#D3D3D3	140
8	#FFFFFF	#D3D3D3	140
9	#FFFFFF	#D3D3D3	140
10	#FFFFFF	#D3D3D3	63
11	#FFFFFF	#D3D3D3	140
12	#FFFFFF	#D3D3D3	63
13	#FFFFFF	#D3D3D3	63
14	#FFFFFF	#D3D3D3	109
15	#FFFFFF	#D3D3D3	63
16	#FFFFFF	#D3D3D3	63
17	#FFFFFF	#D3D3D3	63
18	#FFFFFF	#D3D3D3	63
19	#FFFFFF	#D3D3D3	63
20	#FFFFFF	#D3D3D3	63
21	#FFFFFF	#D3D3D3	203
22	#FFFFFF	#D3D3D3	203
23	#FFFFFF	#D3D3D3	203
24	#FFFFFF	#D3D3D3	203
25	#FFFFFF	#D3D3D3	48
26	#FFFFFF	#D3D3D3	150
27	#FFFFFF	#D3D3D3	150
36	#FFFFFF	#D3D3D3	48
46	#FFFFFF	#D3D3D3	48
47	#FFFFFF	#D3D3D3	48
48	#FFFFFF	#D3D3D3	48
49	#FFFFFF	#D3D3D3	48
50	#FFFFFF	#D3D3D3	48
52	#FFFFFF	#D3D3D3	92
53	#FFFFFF	#D3D3D3	92
54	#FFFFFF	#D3D3D3	48
55	#FFFFFF	#D3D3D3	140
56	#FFFFFF	#D3D3D3	140
57	#FFFFFF	#D3D3D3	140
58	#FFFFFF	#D3D3D3	140
59	#FFFFFF	#D3D3D3	140
60	#FFFFFF	#D3D3D3	63
61	#FFFFFF	#D3D3D3	63
62	#FFFFFF	#D3D3D3	63
63	#FFFFFF	#D3D3D3	63
64	#FFFFFF	#D3D3D3	109
65	#FFFFFF	#D3D3D3	63
66	#FFFFFF	#D3D3D3	63
67	#FFFFFF	#D3D3D3	63
68	#FFFFFF	#D3D3D3	63
69	#FFFFFF	#D3D3D3	63
70	#FFFFFF	#D3D3D3	63
71	#FFFFFF	#D3D3D3	63
72	#FFFFFF	#D3D3D3	203
73	#FFFFFF	#D3D3D3	203
74	#FFFFFF	#D3D3D3	203
75	#FFFFFF	#D3D3D3	48
76	#FFFFFF	#D3D3D3	203
77	#FFFFFF	#D3D3D3	150
86	#FFFFFF	#D3D3D3	48
97	#FFFFFF	#D3D3D3	48
98	#FFFFFF	#D3D3D3	48
99	#FFFFFF	#D3D3D3	48
100	#FFFFFF	#D3D3D3	48
101	#FFFFFF	#D3D3D3	48
103	#FFFFFF	#D3D3D3	92
104	#FFFFFF	#D3D3D3	109
105	#FFFFFF	#D3D3D3	48
106	#FFFFFF	#D3D3D3	140
107	#FFFFFF	#D3D3D3	140
108	#FFFFFF	#D3D3D3	140
109	#FFFFFF	#D3D3D3	140
110	#FFFFFF	#D3D3D3	140
111	#FFFFFF	#D3D3D3	63
112	#FFFFFF	#D3D3D3	63
113	#FFFFFF	#D3D3D3	63
114	#FFFFFF	#D3D3D3	63
115	#FFFFFF	#D3D3D3	109
116	#FFFFFF	#D3D3D3	63
117	#FFFFFF	#D3D3D3	63
118	#FFFFFF	#D3D3D3	63
