group	label	showSelected1
1	Cluster 12: 32/32 pixels shown, logFC -0.1 to 0.2, log10(p) 0.0 to 1.1	12
1	Cluster 18: 24/337 pixels shown, logFC -0.5 to 0.7, log10(p) 0.0 to 2.9	18
1	Cluster 19: 82/82 pixels shown, logFC -0.1 to 0.3, log10(p) 0.0 to 1.9	19
1	Cluster 36: 39/179 pixels shown, logFC -0.7 to 0.5, log10(p) 0.0 to 2.8	36
1	Cluster 48: 158/413 pixels shown, logFC -0.4 to 0.4, log10(p) 0.0 to 2.5	48
1	Cluster 63: 163/1902 pixels shown, logFC -0.5 to 0.8, log10(p) 0.0 to 4.3	63
1	Cluster 67: 47/47 pixels shown, logFC -0.2 to 0.3, log10(p) 0.0 to 2.2	67
1	Cluster 71: 53/53 pixels shown, logFC -0.0 to 0.2, log10(p) 0.1 to 1.6	71
1	Cluster 92: 33/50 pixels shown, logFC -0.0 to 0.1, log10(p) 0.0 to 1.5	92
1	Cluster 99: 62/62 pixels shown, logFC -0.4 to 0.5, log10(p) 0.0 to 2.0	99
1	Cluster 109: 59/157 pixels shown, logFC -0.2 to 0.2, log10(p) 0.0 to 1.9	109
1	Cluster 123: 187/187 pixels shown, logFC -1.7 to 0.7, log10(p) 0.0 to 2.7	123
1	Cluster 140: 140/184 pixels shown, logFC -0.3 to 0.4, log10(p) 0.0 to 1.9	140
1	Cluster 146: 15/15 pixels shown, logFC 0.0 to 0.1, log10(p) 0.1 to 0.8	146
1	Cluster 150: 63/132 pixels shown, logFC -1.0 to 0.9, log10(p) 0.0 to 2.2	150
1	Cluster 203: 287/287 pixels shown, logFC -0.8 to 0.6, log10(p) 0.0 to 2.8	203
